ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0114 289.3745 -23.4420   289.3708 -23.4458 56.2   0.568
P0115 289.3606 -23.5314   289.3625 -23.5292 115.5   0.316
P0116 289.4116 -23.5724   289.4125 -23.5708 177.7   0.197
P0117 289.4422 -23.5992   289.4458 -23.5958 167.1   0.528
P0118 289.4833 -23.6500   289.4792 -23.6542 148.3   0.629
P0119 289.4600 -23.7157   289.4625 -23.7125 151.3   0.438
P0120 289.4726 -23.7718   289.4708 -23.7708 254.7   0.210
P0121 289.4599 -23.8963   289.4625 -23.8958 358.9   0.270
P0122 289.4393 -23.9459   289.4375 -23.9458 325.5   0.183
P0123 289.4463 -23.9985   289.4458 -23.9958 211.2   0.301
P0124 289.4367 -24.0310   289.4375 -24.0292 234.7   0.220
P0125 289.4244 -24.1294   289.4208 -24.1292 659.4   0.364
P0126 289.4546 -24.1708   289.4542 -24.1708 275.6   0.044
P0127 289.4346 -24.2409   289.4375 -24.2375 195.3   0.480
P0128 289.4131 -24.3006   289.4125 -24.3042 544.7   0.402
P0129 289.4004 -24.3372   289.4042 -24.3375 476.6   0.384
P0130 289.4067 -24.4010   289.4042 -24.4042 403.5   0.437
P0131 289.3853 -24.4397   289.3875 -24.4375 186.6   0.331
P0132 289.4160 -24.4920   289.4125 -24.4958 160.3   0.555
P0133 289.3959 -24.6010   289.3958 -24.6042 185.3   0.353
P0134 289.3528 -24.6813   289.3542 -24.6792 293.8   0.275
P0135 289.3801 -24.7158   289.3792 -24.7125 302.0   0.380
P0136 289.4038 -24.7713   289.4042 -24.7708 466.1   0.064
P0137 289.4130 -24.8520   289.4125 -24.8542 360.8   0.247
P0138 289.3948 -24.8977   289.3958 -24.8958 471.4   0.233
P0139 289.4499 -24.9337   289.4458 -24.9375 202.7   0.590
P0140 289.4690 -25.0070   289.4708 -25.0042 181.9   0.366
P0141 289.4791 -25.0791   289.4792 -25.0792 168.7   0.010
P0142 289.4399 -25.1213   289.4375 -25.1208 300.1   0.248
P0143 289.4583 -25.1624   289.4542 -25.1625 243.0   0.417
P0144 289.4834 -25.2372   289.4875 -25.2375 182.6   0.415
P0145 289.4549 -25.3582   289.4542 -25.3542 220.9   0.455
P0146 289.4190 -25.4469   289.4208 -25.4458 202.0   0.219
P0147 289.3167 -25.5000   289.3208 -25.5042 241.8   0.625
P0148 289.3150 -25.6209   289.3125 -25.6208 167.2   0.251
P0149 289.2717 -25.6520   289.2708 -25.6542 168.4   0.257
