ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0427 284.8543 -43.9915   284.8542 -43.9875 185.9   0.446
P0428 284.8830 -44.0292   284.8792 -44.0292 247.9   0.307
P0429 284.9885 -44.0727   284.9875 -44.0708 182.1   0.223
P0430 285.1833 -44.1333   285.1792 -44.1292 181.8   0.571
P0431 285.1500 -44.2500   285.1542 -44.2542 227.5   0.571
P0432 285.0333 -44.2500   285.0292 -44.2542 455.7   0.571
P0433 284.9262 -44.2814   284.9292 -44.2792 204.9   0.343
P0434 284.8536 -44.2686   284.8542 -44.2708 198.4   0.253
P0435 284.7491 -44.2673   284.7458 -44.2708 147.8   0.472
P0436 284.7265 -44.3406   284.7292 -44.3375 193.9   0.406
P0437 284.7238 -44.4048   284.7208 -44.4042 208.2   0.246
P0438 284.7218 -44.4531   284.7208 -44.4542 196.2   0.142
P0439 284.7186 -44.6039   284.7208 -44.6042 171.0   0.180
P0440 284.7554 -44.6850   284.7542 -44.6875 183.3   0.295
P0441 284.6720 -44.7225   284.6708 -44.7208 173.9   0.207
P0442 284.5042 -44.7937   284.5042 -44.7958 235.7   0.238
P0443 284.5080 -44.8542   284.5042 -44.8542 185.9   0.303
P0444 284.6320 -44.9274   284.6292 -44.9292 159.8   0.298
P0445 284.7881 -45.0201   284.7875 -45.0208 238.7   0.094
P0446 285.0000 -45.0833   285.0042 -45.0792 167.6   0.568
P0447 285.1333 -45.2333   285.1292 -45.2292 163.3   0.568
P0448 284.9167 -45.3667   284.9208 -45.3708 189.3   0.567
P0449 284.8000 -45.2833   284.8042 -45.2792 230.4   0.568
P0450 284.7294 -45.2571   284.7292 -45.2542 274.1   0.327
P0451 284.6898 -45.2875   284.6875 -45.2875 186.0   0.180
P0452 284.6238 -45.3453   284.6208 -45.3458 183.8   0.240
P0453 284.6339 -45.4122   284.6375 -45.4125 190.3   0.284
P0454 284.6369 -45.4556   284.6375 -45.4542 200.5   0.166
P0455 284.6041 -45.5143   284.6042 -45.5125 201.3   0.201
P0456 284.5542 -45.5624   284.5542 -45.5625 214.4   0.011
P0457 284.5197 -45.6295   284.5208 -45.6292 263.4   0.096
P0458 284.4831 -45.6959   284.4792 -45.6958 208.3   0.306
P0459 284.4665 -45.7541   284.4625 -45.7542 242.9   0.311
P0460 284.4739 -45.8296   284.4708 -45.8292 217.8   0.243
P0461 284.4395 -45.8848   284.4375 -45.8875 227.9   0.338
P0462 284.5173 -45.9158   284.5208 -45.9125 203.7   0.458
P0463 284.5709 -45.9706   284.5708 -45.9708 197.1   0.027
P0464 284.5618 -46.0373   284.5625 -46.0375 204.2   0.059
P0465 284.5381 -46.1266   284.5375 -46.1292 202.1   0.290
P0466 284.5038 -46.1957   284.5042 -46.1958 203.1   0.032
P0467 284.5744 -46.2334   284.5708 -46.2375 255.8   0.533
P0468 284.6461 -46.2744   284.6458 -46.2708 185.1   0.398
P0469 284.6756 -46.3127   284.6792 -46.3125 128.4   0.275
P0470 284.6044 -46.3922   284.6042 -46.3958 344.1   0.405
P0471 284.4950 -46.4273   284.4958 -46.4292 204.5   0.218
P0472 284.4432 -46.4658   284.4458 -46.4625 138.0   0.420
P0473 284.4385 -46.5182   284.4375 -46.5208 188.0   0.303
P0474 284.3961 -46.5927   284.3958 -46.5958 111.2   0.350
P0475 284.3854 -46.6385   284.3875 -46.6375 64.0   0.196
P0476 284.3527 -46.7196   284.3542 -46.7208 136.9   0.177
P0477 284.3628 -46.8037   284.3625 -46.8042 56.0   0.057
P0478 284.4042 -46.8458   284.4042 -46.8458 46.3   0.004
P0479 284.3995 -46.8877   284.3958 -46.8875 177.8   0.280
P0480 284.4916 -46.9710   284.4875 -46.9708 177.2   0.312
P0481 284.4594 -47.0201   284.4625 -47.0208 196.3   0.249
P0482 284.4645 -47.0621   284.4625 -47.0625 207.6   0.158
P0483 284.4507 -47.1245   284.4542 -47.1208 188.0   0.486
P0484 284.4530 -47.2199   284.4542 -47.2208 202.1   0.136
P0621 281.0921 -33.5494   281.0958 -33.5458 232.7   0.527
P0622 281.1377 -33.5707   281.1375 -33.5708 176.1   0.024
P0623 281.1906 -33.6098   281.1875 -33.6125 195.0   0.416
P0624 281.2413 -33.6253   281.2375 -33.6292 165.1   0.557
P0625 281.2747 -33.6920   281.2708 -33.6958 174.2   0.558
P0626 281.2750 -33.7209   281.2792 -33.7208 195.1   0.386
P0627 281.2262 -33.7211   281.2292 -33.7208 160.6   0.277
P0628 281.1956 -33.7444   281.1958 -33.7458 219.0   0.161
P0629 281.1543 -33.7463   281.1542 -33.7458 192.5   0.053
P0630 281.1128 -33.7431   281.1125 -33.7458 218.9   0.306
P0631 281.0241 -33.7681   281.0208 -33.7708 143.2   0.429
P0632 280.9250 -33.7254   280.9292 -33.7292 280.6   0.570
P0633 280.9127 -33.6866   280.9125 -33.6875 245.6   0.102
P0634 280.9703 -33.6518   280.9708 -33.6542 200.7   0.268
P0635 281.0190 -33.6137   281.0208 -33.6125 192.0   0.216
P0636 281.0246 -33.5792   281.0208 -33.5792 314.9   0.350
P0637 289.6667 -18.4833   289.6708 -18.4792 10.0   0.640
P0638 289.6667 -18.4667   289.6708 -18.4708 12.1   0.640
P0639 289.6833 -18.4667   289.6792 -18.4708 10.0   0.640
P0640 289.7667 -19.6167   289.7708 -19.6208 54.2   0.638
P0641 289.7667 -19.5833   289.7708 -19.5792 69.0   0.638
P0642 289.7667 -19.6000   289.7625 -19.6042 15.9   0.638
P0643 289.7833 -19.6167   289.7792 -19.6208 30.5   0.638
P0644 289.7833 -19.5833   289.7792 -19.5792 55.6   0.638
P0645 289.8333 -20.2167   289.8292 -20.2208 48.4   0.636
P0646 289.8333 -20.2000   289.8292 -20.2042 39.2   0.636
P0647 289.8333 -20.2333   289.8292 -20.2292 57.7   0.636
P0648 289.8333 -20.1833   289.8292 -20.1792 72.2   0.637
P0649 289.8500 -20.2000   289.8542 -20.2042 10.0   0.637
P0650 289.8500 -20.1833   289.8458 -20.1792 43.1   0.637
P0651 289.7833 -20.8167   289.7792 -20.8208 47.4   0.635
P0652 289.7833 -20.8000   289.7792 -20.8042 49.9   0.635
P0653 289.8000 -20.8167   289.7958 -20.8208 12.2   0.635
P0654 289.8000 -20.8000   289.7958 -20.8042 10.0   0.636
P0655 289.7667 -22.1000   289.7708 -22.1042 71.9   0.633
P0656 289.7667 -22.0833   289.7708 -22.0792 92.4   0.633
P0657 289.7833 -22.1000   289.7792 -22.1042 33.0   0.633
P0658 289.7833 -22.0833   289.7792 -22.0792 81.3   0.633
P0659 289.7833 -22.0667   289.7792 -22.0708 93.2   0.633
P0660 289.8000 -22.0833   289.7958 -22.0792 42.3   0.633
P0661 289.8000 -22.0667   289.7958 -22.0708 54.7   0.633
P0662 289.5167 -23.0833   289.5208 -23.0792 47.8   0.631
P0663 289.5333 -23.1000   289.5292 -23.0958 11.4   0.631
P0664 289.5333 -23.0833   289.5292 -23.0792 51.8   0.631
P0665 289.5500 -23.1000   289.5542 -23.0958 10.0   0.631
P0666 289.5500 -23.0833   289.5542 -23.0792 54.1   0.631
P0667 289.5667 -23.0833   289.5708 -23.0792 46.7   0.631
P0668 289.5667 -23.6667   289.5708 -23.6708 53.5   0.629
P0669 289.5667 -23.6500   289.5708 -23.6542 75.2   0.629
P0670 289.5667 -23.6333   289.5708 -23.6292 87.3   0.629
P0671 289.5667 -23.6167   289.5708 -23.6208 83.5   0.629
P0672 289.5833 -23.6667   289.5792 -23.6708 27.6   0.629
P0673 289.5833 -23.6500   289.5792 -23.6542 50.2   0.629
P0674 289.5833 -23.6333   289.5792 -23.6292 71.7   0.629
P0675 289.5833 -23.6167   289.5792 -23.6208 68.0   0.629
P0676 289.6000 -23.6333   289.5958 -23.6292 19.3   0.630
P0677 289.6000 -23.6167   289.5958 -23.6208 25.9   0.630
P0678 289.5000 -25.0500   289.5042 -25.0542 105.4   0.626
P0679 289.5000 -25.0333   289.5042 -25.0292 95.0   0.626
P0680 289.5000 -25.0167   289.5042 -25.0208 79.0   0.626
P0681 289.5000 -25.0000   289.5042 -25.0042 25.8   0.627
P0682 289.5000 -24.9833   289.5042 -24.9792 38.2   0.627
P0683 289.5167 -25.0500   289.5125 -25.0542 36.9   0.627
P0684 289.5167 -25.0333   289.5208 -25.0292 10.0   0.626
P0685 289.5167 -25.0167   289.5208 -25.0208 22.7   0.626
P0686 289.5167 -25.0000   289.5208 -25.0042 21.7   0.626
P0687 289.5167 -24.9833   289.5208 -24.9792 10.0   0.626
P0688 289.4833 -25.4000   289.4792 -25.3958 15.2   0.625
P0689 289.4833 -25.3833   289.4792 -25.3792 74.8   0.625
P0690 289.5000 -25.4000   289.5042 -25.3958 24.8   0.626
P0691 289.5000 -25.3833   289.5042 -25.3792 76.0   0.626
P0692 289.5167 -25.3833   289.5208 -25.3792 56.8   0.625
P0693 289.5167 -25.4000   289.5125 -25.3958 19.1   0.626
P0694 289.3333 -26.3667   289.3292 -26.3708 21.1   0.623
P0695 289.3333 -26.3500   289.3292 -26.3542 32.9   0.623
P0696 289.3333 -26.3333   289.3292 -26.3292 36.4   0.623
P0697 289.3333 -26.3167   289.3292 -26.3208 24.7   0.623
P0698 289.3500 -26.3500   289.3542 -26.3458 15.9   0.623
P0699 289.3500 -26.3333   289.3542 -26.3292 17.1   0.623
P0700 289.3500 -26.3167   289.3542 -26.3208 12.4   0.623
P0701 289.3667 -26.3500   289.3542 -26.3458 15.9   1.332
P0702 289.3667 -26.3333   289.3625 -26.3292 10.0   0.624
P0703 289.1333 -27.0667   289.1292 -27.0708 71.0   0.621
P0704 289.1333 -27.0500   289.1292 -27.0542 97.0   0.621
P0705 289.1333 -27.0333   289.1292 -27.0292 125.5   0.621
P0706 289.1500 -27.0500   289.1458 -27.0542 15.2   0.622
P0707 289.1500 -27.0333   289.1542 -27.0292 71.5   0.622
P0708 289.1667 -27.0333   289.1708 -27.0292 16.9   0.621
P0709 289.1667 -27.0500   289.1708 -27.0542 10.0   0.621
P0710 289.1833 -27.0500   289.1792 -27.0542 10.0   0.621
P0711 288.7500 -28.4667   288.7542 -28.4625 29.1   0.618
P0712 288.7500 -28.4500   288.7542 -28.4542 52.4   0.618
P0713 288.7500 -28.4333   288.7542 -28.4292 138.5   0.618
P0714 288.7667 -28.4333   288.7708 -28.4292 72.0   0.618
P0715 288.7667 -28.4667   288.7625 -28.4625 27.1   0.618
P0716 288.7667 -28.4500   288.7708 -28.4542 28.2   0.618
P0717 288.7833 -28.4500   288.7792 -28.4542 15.2   0.618
P0718 288.7833 -28.4333   288.7792 -28.4292 46.7   0.618
P0719 288.6333 -29.9500   288.6292 -29.9542 71.0   0.614
P0720 288.6333 -29.9333   288.6292 -29.9292 94.4   0.614
P0721 288.6500 -29.9500   288.6375 -29.9542 10.0   1.293
P0722 288.6500 -29.9333   288.6542 -29.9292 22.0   0.614
P0723 288.6667 -29.9500   288.6708 -29.9542 10.0   0.614
P0724 288.6667 -29.9333   288.6708 -29.9292 25.9   0.614
P0725 288.6833 -29.9500   288.6792 -29.9542 10.0   0.614
P0726 288.6833 -29.9333   288.6792 -29.9292 26.8   0.614
P0727 288.7000 -29.9333   288.7042 -29.9292 13.3   0.614
P0728 288.4500 -32.1500   288.4542 -32.1542 41.5   0.608
P0729 288.4500 -32.1333   288.4542 -32.1292 52.2   0.608
P0730 288.4500 -32.1167   288.4542 -32.1208 54.4   0.608
P0731 288.4667 -32.1500   288.4625 -32.1542 12.5   0.609
P0732 288.4667 -32.1333   288.4708 -32.1292 10.0   0.608
P0733 288.4667 -32.1167   288.4708 -32.1208 10.0   0.608
P0734 288.4833 -32.1167   288.4792 -32.1208 10.0   0.608
P0735 288.4500 -32.7833   288.4542 -32.7792 17.7   0.607
P0736 288.4500 -32.7667   288.4542 -32.7708 24.5   0.607
P0737 288.4667 -32.7500   288.4708 -32.7542 65.1   0.606
P0738 288.4667 -32.7833   288.4792 -32.7792 10.0   1.259
P0739 288.4667 -32.7667   288.4708 -32.7625 32.2   0.606
P0740 288.4833 -32.7833   288.4792 -32.7792 10.0   0.606
P0741 288.4833 -32.7667   288.4792 -32.7708 19.8   0.606
P0742 288.4833 -32.7500   288.4792 -32.7542 56.5   0.606
P0743 288.5000 -32.7500   288.5042 -32.7542 17.1   0.607
P0744 288.3500 -33.0167   288.3542 -33.0208 15.9   0.606
P0745 288.3500 -33.0000   288.3542 -33.0042 109.2   0.606
P0746 288.3667 -33.0000   288.3708 -33.0042 102.0   0.606
P0747 288.3667 -33.0167   288.3708 -33.0208 27.1   0.606
P0748 288.3833 -33.0333   288.3792 -33.0292 49.4   0.606
P0749 288.3833 -33.0167   288.3792 -33.0208 73.4   0.606
P0750 288.4000 -33.0333   288.4042 -33.0292 11.5   0.606
P0751 288.4000 -33.0167   288.4042 -33.0208 54.9   0.606
P0752 288.4000 -33.0000   288.4042 -33.0042 80.5   0.606
P0753 288.3500 -33.6000   288.3542 -33.6042 21.7   0.604
P0754 288.3500 -33.5833   288.3542 -33.5792 57.9   0.604
P0755 288.3500 -33.5667   288.3542 -33.5708 127.5   0.604
P0756 288.3667 -33.6000   288.3708 -33.6042 10.0   0.604
P0757 288.3667 -33.5667   288.3708 -33.5708 53.4   0.604
P0758 288.3667 -33.5833   288.3708 -33.5792 69.9   0.604
P0759 288.3833 -33.5833   288.3792 -33.5875 12.7   0.604
P0760 288.3833 -33.5667   288.3708 -33.5708 53.4   1.250
P0761 287.5167 -35.3500   287.5208 -35.3542 15.0   0.599
P0762 287.5167 -35.3333   287.5208 -35.3292 16.7   0.599
P0763 287.5333 -35.3500   287.5292 -35.3458 10.0   0.599
P0764 287.5333 -35.3333   287.5292 -35.3292 15.6   0.599
P0765 287.5500 -35.3500   287.5375 -35.3458 10.0   1.227
P0766 287.5500 -35.3333   287.5542 -35.3292 14.6   0.599
P0767 286.9333 -36.6500   286.9292 -36.6542 16.7   0.595
P0768 286.9500 -36.6500   286.9542 -36.6542 24.7   0.595
P0769 286.9500 -36.6333   286.9542 -36.6292 10.0   0.595
P0770 286.9667 -36.6500   286.9708 -36.6542 26.8   0.595
P0771 286.9667 -36.6333   286.9708 -36.6292 33.5   0.595
P0772 286.9000 -36.7167   286.9042 -36.7208 10.0   0.595
P0773 286.9000 -36.7000   286.9042 -36.7042 11.1   0.595
P0774 286.9167 -36.6833   286.9208 -36.6792 16.4   0.595
P0775 286.9167 -36.7167   286.9208 -36.7208 10.0   0.595
P0776 286.9167 -36.7000   286.9208 -36.7042 14.1   0.595
P0777 286.8167 -37.0500   286.8208 -37.0542 25.1   0.594
P0778 286.8167 -37.0333   286.8208 -37.0292 10.0   0.594
P0779 286.8167 -37.0167   286.8125 -37.0208 12.2   0.594
P0780 286.8333 -37.0500   286.8292 -37.0542 22.3   0.594
P0781 286.8333 -37.0333   286.8292 -37.0292 10.0   0.594
P0782 286.8333 -37.0667   286.8292 -37.0708 20.1   0.594
P0783 286.8500 -37.0667   286.8458 -37.0625 11.5   0.594
P0784 286.8500 -37.0500   286.8542 -37.0542 10.0   0.594
P0785 286.8500 -37.0333   286.8458 -37.0292 10.0   0.594
P0786 286.3167 -37.6167   286.3125 -37.6208 30.4   0.592
P0787 286.3167 -37.6000   286.3208 -37.6042 10.0   0.592
P0788 286.3167 -37.5833   286.3208 -37.5792 46.7   0.592
P0789 286.3167 -37.5667   286.3208 -37.5708 49.4   0.592
P0790 286.3333 -37.6167   286.3208 -37.6042 10.0   1.777
P0791 286.3333 -37.6000   286.3208 -37.6042 10.0   1.197
P0792 286.3333 -37.5833   286.3292 -37.5792 35.7   0.592
P0793 286.3333 -37.5667   286.3292 -37.5708 38.7   0.592
P0794 286.3500 -37.5833   286.3458 -37.5792 15.1   0.592
P0795 286.7500 -39.4167   286.7542 -39.4208 17.0   0.587
P0796 286.7500 -39.4000   286.7542 -39.4042 10.0   0.587
P0797 286.7500 -39.3833   286.7542 -39.3792 11.5   0.587
P0798 286.7500 -39.3667   286.7542 -39.3708 14.0   0.587
P0799 286.7667 -39.3667   286.7708 -39.3708 10.0   0.587
P0800 286.7667 -39.4167   286.7708 -39.4208 10.8   0.586
P0801 286.7667 -39.4000   286.7625 -39.4042 10.0   0.587
P0802 286.7667 -39.3833   286.7792 -39.3792 10.0   1.172
P0803 286.7833 -39.3833   286.7792 -39.3792 10.0   0.587
P0804 286.7833 -39.3667   286.7792 -39.3708 10.0   0.587
P0805 286.5667 -39.8667   286.5792 -39.8625 12.2   1.165
P0806 286.5667 -39.8500   286.5708 -39.8542 10.6   0.585
P0807 286.5667 -39.8333   286.5708 -39.8292 23.8   0.585
P0808 286.5833 -39.8833   286.5875 -39.8792 10.0   0.585
P0809 286.5833 -39.8667   286.5792 -39.8625 12.2   0.585
P0810 286.5833 -39.8500   286.5792 -39.8542 13.2   0.585
P0811 286.5833 -39.8333   286.5792 -39.8292 16.9   0.585
P0812 286.6000 -39.8833   286.5958 -39.8792 10.0   0.585
P0813 286.6000 -39.8667   286.5958 -39.8625 10.0   0.585
P0814 286.2333 -40.5833   286.2292 -40.5792 47.6   0.583
P0815 286.2333 -40.5667   286.2292 -40.5708 47.0   0.583
P0816 286.2333 -40.6000   286.2292 -40.6042 26.2   0.583
P0817 286.2333 -40.5500   286.2292 -40.5542 43.3   0.583
P0818 286.2500 -40.5833   286.2458 -40.5792 15.1   0.583
P0819 286.2500 -40.5667   286.2542 -40.5708 10.0   0.583
P0820 286.2500 -40.5500   286.2542 -40.5542 10.0   0.583
P0821 286.2667 -40.5500   286.2708 -40.5458 10.0   0.583
P0822 287.0167 -41.5167   287.0208 -41.5208 99.6   0.580
P0823 287.0167 -41.5000   287.0208 -41.5125 10.0   1.435
P0824 287.0333 -41.5000   287.0375 -41.5042 11.8   0.580
P0825 287.0333 -41.5167   287.0292 -41.5208 141.8   0.580
P0826 287.0500 -41.5167   287.0542 -41.5208 241.8   0.580
P0827 287.0500 -41.5000   287.0542 -41.5042 76.2   0.580
P0828 287.0500 -41.4833   287.0542 -41.4792 10.0   0.580
P0829 287.0667 -41.5167   287.0708 -41.5208 259.0   0.580
P0830 287.0667 -41.5000   287.0708 -41.5042 182.3   0.580
P0831 287.0667 -41.4833   287.0708 -41.4792 58.2   0.580
P0832 286.1500 -41.8667   286.1542 -41.8708 10.0   0.579
P0833 286.1500 -41.8500   286.1542 -41.8542 10.0   0.579
P0834 286.1667 -41.8667   286.1625 -41.8708 10.0   0.579
P0835 286.1667 -41.8500   286.1708 -41.8542 10.0   0.579
P0836 286.1833 -41.8667   286.1792 -41.8542 10.0   1.435
P0837 286.1833 -41.8500   286.1792 -41.8542 10.0   0.579
P0838 286.2333 -42.5000   286.2292 -42.5042 10.0   0.577
P0839 286.2500 -42.5000   286.2458 -42.5042 30.0   0.577
P0840 286.2500 -42.4833   286.2542 -42.4792 17.0   0.577
P0841 286.2500 -42.4667   286.2542 -42.4708 10.0   0.577
P0842 286.2333 -43.9000   286.2458 -43.9125 10.0   1.717
P0843 286.2500 -43.9167   286.2542 -43.9208 10.0   0.572
P0844 286.2500 -43.9000   286.2542 -43.9042 10.0   0.572
P0845 286.2667 -43.9000   286.2708 -43.9042 10.0   0.572
P0846 286.2667 -43.8833   286.2708 -43.8792 26.0   0.572
P0847 287.1667 -45.4667   287.1792 -45.4292 10.0   4.291
P0848 287.1667 -45.4500   287.1792 -45.4292 10.0   2.518
P0849 287.1667 -45.4833   287.1125 -45.4542 10.0   5.336
P0850 287.1833 -45.4667   287.1792 -45.4292 10.0   4.191
P0851 287.1833 -45.4500   287.1792 -45.4292 10.0   2.344
P0852 287.1833 -45.4333   287.1792 -45.4292 10.0   0.567
P0887 281.1667 -33.6000   281.1708 -33.6042 189.9   0.604
P0888 281.1667 -33.6167   281.1708 -33.6208 44.3   0.604
P0889 281.1833 -33.6333   281.1792 -33.6292 47.2   0.604
P0890 281.1833 -33.6167   281.1792 -33.6208 112.3   0.604
P0891 281.1833 -33.6000   281.1792 -33.6042 231.1   0.604
P0892 281.2000 -33.6333   281.2042 -33.6292 24.7   0.604
P0893 281.2000 -33.6167   281.2042 -33.6208 93.7   0.604
P0901 286.3000 -16.2333   286.3042 -16.2375 10.0   0.644
P0902 286.2833 -16.2333   286.2792 -16.2292 35.2   0.644
P0903 286.3000 -16.2500   286.3042 -16.2542 46.3   0.644
P0904 286.2833 -16.2500   286.2792 -16.2542 112.5   0.644
P0905 287.8833 -17.0000   287.8792 -17.0042 63.7   0.642
P0906 287.8833 -17.0167   287.8792 -17.0208 73.8   0.642
P0907 287.9000 -17.0167   287.9042 -17.0208 64.6   0.642
P0908 287.8667 -17.0000   287.8708 -17.0042 102.1   0.642
P0909 287.8667 -17.0167   287.8708 -17.0208 107.6   0.642
P0910 287.9500 -34.6333   287.9458 -34.6292 17.3   0.601
P0911 287.9500 -34.6167   287.9458 -34.6208 16.6   0.601
P0912 287.9333 -34.6167   287.9292 -34.6208 39.0   0.601
P0913 287.9333 -34.6333   287.9292 -34.6292 38.6   0.601
P0914 287.9333 -34.6500   287.9292 -34.6542 37.9   0.601
P0915 287.9167 -34.6167   287.9208 -34.6208 48.4   0.601
P0916 287.9167 -34.6333   287.9208 -34.6292 48.7   0.601
P0917 287.9167 -34.6500   287.9208 -34.6542 48.1   0.601
P0918 286.5790 -20.4417   286.5792 -20.4458 4886.9   0.465
P0919 287.9630 -23.1630   287.9625 -23.1625 4318.8   0.076
P0920 286.0170 -26.7430   286.0208 -26.7458 4020.3   0.495
P0921 286.2010 -32.1230   286.2042 -32.1208 4233.3   0.384
P0922 284.7570 -35.7580   284.7542 -35.7542 4190.8   0.498
P0923 286.5710 -20.4730   286.5708 -20.4708 4867.5   0.242
P0924 286.2170 -32.1180   286.2208 -32.1208 4260.3   0.480
P0925 284.7162 -35.7469   284.7125 -35.7458 4193.2   0.360
P0926 289.6768 -18.4758   289.6792 -18.4708 10.0   0.609
P0927 289.7840 -19.5969   289.7875 -19.5875 10.0   1.108
P0928 289.8522 -20.2046   289.8542 -20.2042 10.0   0.214
P0929 289.8020 -20.8032   289.7958 -20.8042 10.0   0.648
P0930 289.7883 -22.0938   289.7875 -22.0875 35.9   0.703
P0931 289.5492 -23.0975   289.5458 -23.0958 10.0   0.389
P0932 289.5956 -23.6531   289.5958 -23.6458 10.0   0.814
P0933 289.5313 -25.0090   289.5292 -25.0042 10.0   0.577
P0934 289.5083 -25.4081   289.5042 -25.3958 24.8   1.430
P0935 289.3663 -26.3518   289.3542 -26.3458 15.9   1.384
P0936 289.1753 -27.0646   289.1792 -27.0542 10.0   1.225
P0937 288.7762 -28.4608   288.7792 -28.4542 15.2   0.797
P0938 288.6647 -29.9501   288.6708 -29.9542 10.0   0.748
P0939 288.4707 -32.1356   288.4708 -32.1292 10.0   0.718
P0940 288.4747 -32.7756   288.4792 -32.7792 10.0   0.579
P0941 288.3741 -33.0273   288.3792 -33.0292 49.4   0.520
P0942 288.3818 -33.5816   288.3792 -33.5875 12.7   0.699
P0943 287.5419 -35.3559   287.5375 -35.3458 10.0   1.193
P0944 286.9427 -36.6361   286.9458 -36.6375 10.0   0.315
P0945 286.8938 -36.6954   286.9042 -36.6958 10.0   0.931
P0946 286.8483 -37.0286   286.8458 -37.0292 10.0   0.226
P0947 286.3360 -37.5942   286.3375 -37.5875 18.7   0.761
P0948 286.7851 -39.3977   286.7708 -39.4125 10.0   2.058
P0949 286.5725 -39.8866   286.5875 -39.8875 10.0   1.285
P0950 286.2630 -40.5811   286.2542 -40.5708 10.0   1.366
P0951 287.0388 -41.4847   287.0542 -41.4875 10.0   1.322
P0952 286.1669 -41.8674   286.1625 -41.8708 10.0   0.531
P0953 286.2415 -42.4809   286.2458 -42.4792 10.0   0.402
P0954 286.2518 -43.8985   286.2542 -43.9042 10.0   0.663
P0955 287.1800 -45.4671   287.1792 -45.4292 10.0   4.224
P0962 281.1701 -33.6360   281.1792 -33.6292 47.2   1.135
P0964 287.9538 -34.6394   287.9458 -34.6375 12.3   0.757
P0965 287.9421 -34.6873   287.9375 -34.6792 11.4   1.002
P0966 286.5919 -38.7499   286.5708 -38.7625 10.0   2.305
P0968 287.0429 -36.5380   287.0542 -36.5375 10.3   1.014
P0969 288.5313 -29.2459   288.5292 -29.2375 10.0   0.955
P0970 286.4789 -45.1646   286.4792 -45.1708 10.0   0.698
