282.02572	-11.2
282.04021	-11.4
282.07485	-11.6
282.18106	-11.8
282.28333	-12.0092
282.4393	-12.2
282.65769	-12.4
282.91749	-12.6
283.06975	-12.8
283.23002	-13
283.35782	-13.2
283.45162	-13.4
283.52852	-13.6
283.58309	-13.8
283.61982	-14
283.68242	-14.2
283.76904	-14.4
283.92136	-14.6
284.10654	-14.8
284.36733	-15
284.56487	-15.2
284.80799	-15.4
285.24156	-15.6
285.49121	-15.8
285.83958	-16
286.0799	-16.2
286.5576	-16.4
286.99551	-16.6
287.45795	-16.8
287.79333	-17
288.02062	-17.2
288.1876	-17.4332
288.2539	-17.4077
288.33	-17.3559
288.4439	-17.3703
288.5085	-17.5082
288.5357	-17.6402
288.5505	-17.6792
288.5958	-17.7459
288.6709	-17.8144
288.7375	-17.8418
288.7774	-17.92
288.8344	-17.9482
288.905	-18.02
288.9881	-18.0953
289.1473	-18.1861
289.1858	-18.239
289.2408	-18.2876
289.362	-18.3594
289.4577	-18.4253
289.4895	-18.4943
289.5431	-18.5407
289.5786	-18.6362
289.5788	-18.7376
289.5729	-18.8179
289.6122	-18.9216
289.6039	-19.0236
289.6187	-19.0487
289.641	-19.1376
289.6891	-19.2014
289.6761	-19.2462
289.6486	-19.3296
289.6475	-19.4284
289.6616	-19.522
289.6875	-19.5875
289.7484	-19.6047
289.7595	-19.7037
289.7528	-19.7652
289.7764	-19.887
289.8116	-19.9554
289.78333	-20.016667
289.7714	-20.1022
289.7576	-20.1792
289.7567	-20.2545
289.7676	-20.316
289.7279	-20.3879
289.6928	-20.4622
289.66667	-20.55
289.6518	-20.6154
289.5387	-20.7026
289.5612	-20.7804
289.6334	-20.821
289.642	-20.9127
289.6164	-21.0252
289.6386	-21.0794
289.6282	-21.1637
289.6949	-21.2472
289.7278	-21.3733
289.7548	-21.5056
289.769	-21.6451
289.7522	-21.7031
289.7608	-21.7368
289.7763	-21.8239
289.7703	-21.9134
289.7748	-21.9918
289.733	-22.1375
289.7244	-22.2837
289.7	-22.366667
289.6947	-22.4782
289.7056	-22.5379
289.66	-22.5867
289.6741	-22.6622
289.5966	-22.7594
289.5485	-22.7866
289.5579	-22.8668
289.5484	-22.9786
289.4661	-22.9878
289.4281	-23.0103
289.3808	-23.0551
289.4041	-23.1631
289.3857	-23.2201
289.3808	-23.3051
289.3583	-23.3751
289.3745	-23.442
289.3606	-23.5314
289.4116	-23.5724
289.4422	-23.5992
289.48333	-23.65
289.46	-23.7157
289.4726	-23.7718
289.4599	-23.8963
289.4393	-23.9459
289.4463	-23.9985
289.4367	-24.031
289.4244	-24.1294
289.4546	-24.1708
289.4346	-24.2409
289.4131	-24.3006
289.4004	-24.3372
289.4067	-24.401
289.3853	-24.4397
289.416	-24.492
289.3959	-24.601
289.3528	-24.6813
289.3801	-24.7158
289.4038	-24.7713
289.413	-24.852
289.3948	-24.8977
289.4499	-24.9337
289.469	-25.007
289.4791	-25.0791
