1417
0.00 287.579 -30.37602 9.80 10 10 4.10 7.50 90.00 0.00
0.00 287.474 -30.46594 8.70 10 10 4.20 6.30 86.00 0.00
0.00 287.579 -30.46594 9.90 10 10 4.20 7.60 98.00 0.00
0.00 287.684 -30.46594 11.40 10 10 4.20 9.00 100.00 0.00
0.00 287.789 -30.46594 13.10 10 10 4.20 10.60 86.00 0.00
0.00 287.895 -30.46594 15.20 10 10 4.20 12.50 96.00 0.00
0.00 288 -30.46594 17.60 10 10 4.20 14.50 91.00 0.00
0.00 288.105 -30.46594 20.40 10 10 4.30 16.60 96.00 0.00
0.00 288.211 -30.46594 23.60 10 10 4.40 18.90 94.00 0.00
0.00 288.316 -30.46594 27.30 10 10 4.50 21.10 94.00 0.00
0.00 288.421 -30.46594 31.40 10 10 4.60 23.10 88.00 0.00
0.00 288.526 -30.46594 35.80 10 10 4.80 24.80 98.00 0.00
0.00 288.632 -30.46594 40.60 10 10 5.00 26.00 86.00 0.00
0.00 288.737 -30.46594 45.60 10 10 5.20 26.80 89.00 0.00
0.00 288.842 -30.46594 50.70 10 10 5.50 27.00 95.00 0.00
0.00 288.947 -30.46594 55.80 10 10 5.90 26.70 85.00 0.00
0.00 289.053 -30.46594 60.80 10 10 6.40 26.00 89.00 0.00
0.00 287.474 -30.55586 8.80 10 10 4.30 6.40 92.00 0.00
0.00 287.579 -30.55586 10.00 10 10 4.20 7.70 86.00 0.00
0.00 287.684 -30.55586 11.50 10 10 4.20 9.10 96.00 0.00
0.00 287.789 -30.55586 13.30 10 10 4.10 10.80 99.00 0.00
0.00 287.895 -30.55586 15.30 10 10 4.10 12.60 96.00 0.00
0.00 288 -30.55586 17.80 10 10 4.10 14.70 89.00 0.00
0.00 288.105 -30.55586 20.60 10 10 4.10 16.80 90.00 0.00
0.00 288.211 -30.55586 23.90 10 10 4.10 19.10 96.00 0.00
0.00 288.316 -30.55586 27.60 10 10 4.20 21.30 92.00 0.00
0.00 288.421 -30.55586 31.70 10 10 4.30 23.30 92.00 0.00
0.00 288.526 -30.55586 36.20 10 10 4.50 25.00 85.00 0.00
0.00 288.632 -30.55586 41.00 10 10 4.70 26.20 94.00 0.00
0.00 288.737 -30.55586 46.10 10 10 4.90 27.00 87.00 0.00
0.00 288.842 -30.55586 51.20 10 10 5.20 27.20 90.00 0.00
0.00 288.947 -30.55586 56.30 10 10 5.60 26.90 85.00 0.00
0.00 289.053 -30.55586 61.40 10 10 6.10 26.10 93.00 0.00
0.00 287.474 -30.64578 8.90 10 10 4.40 6.50 95.00 0.00
0.00 287.579 -30.64578 10.10 10 10 4.30 7.80 100.00 0.00
0.00 287.684 -30.64578 11.60 10 10 4.20 9.20 98.00 0.00
0.00 287.789 -30.64578 13.40 10 10 4.10 10.90 99.00 0.00
0.00 287.895 -30.64578 15.50 10 10 4.00 12.80 93.00 0.00
0.00 288 -30.64578 18.00 10 10 3.90 14.80 97.00 0.00
0.00 288.105 -30.64578 20.80 10 10 3.90 17.00 98.00 0.00
0.00 288.211 -30.64578 24.10 10 10 3.90 19.30 97.00 0.00
0.00 288.316 -30.64578 27.80 10 10 3.90 21.50 97.00 0.00
0.00 288.421 -30.64578 32.00 10 10 4.00 23.50 93.00 0.00
0.00 288.526 -30.64578 36.50 10 10 4.10 25.10 96.00 0.00
0.00 288.632 -30.64578 41.40 10 10 4.30 26.40 88.00 0.00
0.00 288.737 -30.64578 46.50 10 10 4.50 27.10 90.00 0.00
0.00 288.842 -30.64578 51.60 10 10 4.80 27.30 99.00 0.00
0.00 288.947 -30.64578 56.80 10 10 5.20 27.00 85.00 0.00
